2016-01-01,18.7,1
2016-02-01,105.99,2
2016-03-01,143.2,3
2016-04-01,261.85,4
2016-05-01,538.6,5
2016-06-01,231.95,6
2016-07-01,28.56,7
2016-08-01,94.4,8
2016-09-01,220.95,9
2016-10-01,608.05,10
2016-11-01,702.88,11
2016-12-01,618.45,12
2017-01-01,528,13
2017-02-01,950.3,14
2017-03-01,1219.51,15
2017-04-01,1201,16
2017-05-01,916.69,17
2017-06-01,712.95,18
2017-08-01,881.35,19
2017-09-01,1557.45,20
2017-10-01,1510.61,21
2017-11-01,1328.48,22
2017-12-01,1465.15,23
2018-01-01,886.7,24
2018-02-01,1057.91,25
2018-03-01,1104.44,26
2018-04-01,1444.77,27
2018-05-01,893.62,28
2018-06-01,887.9,29
2018-07-01,775.05,30
2018-08-01,223.65,31
2018-09-01,382.05,32
2018-10-01,413.45,33
2018-11-01,454.65,34
2018-12-01,684.65,35
2019-01-01,595.35,36
2019-02-01,631.1,37
2019-03-01,872.75,38
